bus,region
BANDUNDU_AC_2025,South-West
BOMA_AC_2025,South-West
BUKAVU_RUZIZI_AC_2025,East
GBADOLITE_AC_2025,North-Center
GOMA_AC_2025,East
MATADI_INGA_AC_2025,South-West
MATADI_INGA_DC_2025,South-West
KALEMIE_AC_2025,East
KAMINA_DC_2025,South-West
KANANGA_AC_2025,South-West
KANANGA_DC_2025,South-West
KIKWIT_KAKOBOLA_AC_2025,South-West
KIKWIT_KAKOBOLA_DC_2025,South-West
KINDU_AC_2025,East
KINSHASA_AC_2025,South-West
KISANGANI_AC_2025,North-Center
KISENGE_AC_2025,South-West
KOLWEZI_AC_2025,South-West
KOLWEZI_DC_2025,South-West
LIKASI_AC_2025,South-West
LUBUMBASHI_AC_2025,South-West
MANONO_AC_2025,East
MBANDAKA_AC_2025,North-Center
MBUJI_MAYI_AC_2025,South-West
MBUJI_MAYI_DC_2025,South-West
ZONGO_AC_2025,South-West
ZONGO_DC_2025,South-West
